Restaurant Name,Cusine Served,Longitude,Latitude,Rating,Region,Price For Two
Hungrilla,North Indian,91.28435999999999,23.8395,3.8,Agartala,1000
Daya Hari Chatpata,North Indian,91.28252999999995,23.82955,4,Agartala,250
MOMOS N MORE,"North Indian, Chinese",91.27701032142636,23.83791266987369,3.8,Agartala,250
Sherowali Sweets And Fast Foods,North Indian,91.28389400000003,23.83388,4,Agartala,350
The Fat Chicken,"Fast Food, North Indian",91.278639,23.831767,3.9,Agartala,400
Shyamasree Restaurant,North Indian,91.26908000000003,23.82913,3.6,Agartala,250
City Spice,North Indian,91.28026,23.83045,3.6,Agartala,350
Cakes &amp; Buns,Cafe,91.27017112239605,23.837209852553954,3.9,Agartala,350
Royal Raj Restaurant,"Fast Food, North Indian",91.26937599999997,23.82919469117046,3.6,Agartala,250
KFC,"American, Fast Food",91.28073199999994,23.83414,4.2,Agartala,400
Ritwika&#39;s Food Fresto,North Indian,91.28526,23.83918,3.8,Agartala,250
Frespresso,North Indian,91.28838700000006,23.834123,3.6,Agartala,250
The Hungry Port,North Indian,91.270251,23.835479,3.9,Agartala,1000
JAL KHABAR,North Indian,91.27983999999992,23.82948,3.7,Agartala,300
New Ashoka Restaurant,North Indian,91.28015124300487,23.829666495435458,3.5,Agartala,300
HERITAGE,North Indian,91.2773241398811,23.838905064884287,3.9,Agartala,300
SKF Food World,"Fast Food, North Indian",91.27978400000006,23.829513,4,Agartala,1000
Gujrat Hotel &amp; Restaurant,Indian,91.28094104968545,23.83412974830144,3.6,Agartala,1000
Brewbakes Cafe Bistro,North Indian,91.28710899999999,23.83528,3.2,Agartala,1000
Coffee tea and me,North Indian,91.27011624790191,23.837059655624994,3.8,Agartala,250
Tandoor Hut,"Indian, Chinese, Tandoor",91.27496321230319,23.838095762910164,3.6,Agartala,250
Adi Sankar Hotel,North Indian,91.27891999999997,23.827,3.8,Agartala,250
Crispy,North Indian,91.27836000000002,23.83214,3.9,Agartala,250
New Grill Abhishek Restaurant,North Indian,91.2700356373739,23.835595515576976,3.5,Agartala,300
Juice Bar,Juices,91.28165804662706,23.839552880168373,3.7,Agartala,1000
The Framandi,Indian,91.28769369727138,23.837988325115102,3.5,Agartala,250
Cakes &amp; Buns,Cafe,91.29921830723902,23.83380233144301,3.8,Agartala,350
Aamantran Restaurant,"Indian, South Indian",91.28031788562544,23.830321024550617,3.6,Agartala,300
Rolling Joint,Fast Food,91.27041804662701,23.835118159913137,4.2,Agartala,1000
Curlies,"Seafood, Chinese, Indian",91.27244199999996,23.838241,3.5,Agartala,300
Chai Vilas,North Indian,91.27329199999997,23.838275,3.6,Agartala,300
CHOBIS,Indian,91.27177164723867,23.838318412625252,3.4,Agartala,1000
Cake &amp; More,"Desserts, Fast Food",78.00602600000002,27.199625,4.3,Agra,1000
ROCK N ROLL,"North Indian, Chinese",91.27169466501232,23.838505093230005,3.9,Agartala,300
Mama Chicken Mama Franky House,"Chinese, Fast Food, North Indian, Mughlai, Street Food",78.01150600000005,27.160397,4,Agra,1000
